chunk_text,trial_id,condition,phase,status,enrollment,sponsor,interventions,start_year,completion_year
"NCT Number: NCT06745908. Study Title: ResQ201A: Clinical Trial Of N-803 Plus TISLELIZUMAB And DOCETAXEL Versus DOCETAXEL Monotherapy In Participants With Advanced Or Metastatic Non-Small Cell Lung Cancer. Sponsor: ImmunityBio, Inc.. Condition or Disease: NSCLC Stage IV. Intervention or Drug or Treatment: DRUG: N-803|DRUG: Tislelizumab|DRUG: Docetaxel. Phase: PHASE3. Study Status: RECRUITING. Enrollment: 460.0. Summary: This is a randomized, open-label, phase 3 clinical trial to compare the efficacy and safety of N-803 plus tislelizumab and docetaxel (experimental arm) versus docetaxel monotherapy (control arm). Enrolled participants will be randomized 2:1 to treatment in the experimental arm or the control arm. Participant randomization will be stratified by geographical region (North America vs Europe vs ASIA vs Other), NSCLC histology (squamous vs nonsquamous), and actionable genomic alteration (AGA); (epidermal growth factor receptor \[EGFR\]/anaplastic lymphoma kinase \[ALK\] vs OTHER AGA vs No AGA).. ",NCT06745908,NSCLC Stage IV,PHASE3,RECRUITING,460.0,"ImmunityBio, Inc.",DRUG: N-803|DRUG: Tislelizumab|DRUG: Docetaxel,2025,2029
"NCT Number: NCT01137162. Study Title: Clinical and Pathologic Studies of Patients Undergoing Treatment With EGFR Inhibitors. Sponsor: Stanford University. Condition or Disease: Anal, Colon, and Rectal Cancers|Head and Neck Cancer|Lung Cancer|Colon Cancer|Colonic Neoplasms|Colorectal Neoplasms|Colon/Rectal Cancer|Colon/Rectal Cancer Colon Cancer|Colon/Rectal Cancer Rectal Cancer|Colon/Rectal Cancer Anal Cancer|Head and Neck Cancers|Head and Neck Cancers Lip|Head and Neck Cancers Oral Cavity|Head and Neck Cancers Nasopharynx|Head and Neck Cancers Oropharynx|Head and Neck Cancers Hypopharynx|Head and Neck Cancers Larynx|Head and Neck Cancers Trachea|Lung Cancer Non-Small Cell Cancer (NSCLC)|Lung Cancer Small Cell Lung Cancer (SCLC). Intervention or Drug or Treatment: . Phase: . Study Status: TERMINATED. Enrollment: 10.0. Summary: Cetuximab, erlotinib, and panitumumab are all recently FDA approved epidermal growth factor receptor (EGFR) inhibitors that treat a wide variety of tumor types, such as colon, lung, and head and neck. Blockade of the EGFR results in inhibition of multiple downstream pathways, leading to slowed tumor growth. In addition, these inhibitors may enhance anti-tumor immune responses through uncharacterized mechanisms. While producing significant responses in many settings, EGFR inhibitors also result in significant skin toxicity (rash) in a high percentage of patients. Multiple studies have correlated the presence and severity of rash with clinical response. Unfortunately, severe rash can often lead to dose delays, reductions, or even discontinuation of EGFR inhibitors, thus limiting their efficacy. The mechanism of both the rash and its correlation with tumor response is poorly understood. Skin biopsies display a robust leukocyte infiltrate, but a systematic analysis of the type of infiltrating leukocytes, activation state, or",NCT01137162,"Anal, Colon, and Rectal Cancers|Head and Neck Cancer|Lung Cancer|Colon Cancer|Colonic Neoplasms|Colorectal Neoplasms|Colon/Rectal Cancer|Colon/Rectal Cancer Colon Cancer|Colon/Rectal Cancer Rectal Cancer|Colon/Rectal Cancer Anal Cancer|Head and Neck Cancers|Head and Neck Cancers Lip|Head and Neck Cancers Oral Cavity|Head and Neck Cancers Nasopharynx|Head and Neck Cancers Oropharynx|Head and Neck Cancers Hypopharynx|Head and Neck Cancers Larynx|Head and Neck Cancers Trachea|Lung Cancer Non-Small Cell Cancer (NSCLC)|Lung Cancer Small Cell Lung Cancer (SCLC)",,TERMINATED,10.0,Stanford University,,2008,2011
"rash and its correlation with tumor response is poorly understood. Skin biopsies display a robust leukocyte infiltrate, but a systematic analysis of the type of infiltrating leukocytes, activation state, or homing receptor expression has not been performed. Chemokines and chemokine receptors control leukocyte trafficking to the skin and other tissue sites, and defined receptor profiles for skin-, gut-, and lung-homing leukocytes are well established. In this study, the investigators propose to evaluate the homing phenotype of leukocytes from peripheral blood and skin biopsies of patients receiving EGFR inhibitors. The investigators will use RNA microarrays to evaluate the expression of chemokines and other key genes regulated in skin during treatment. The investigators will utilize in vitro methods to investigate effects of EGFR inhibitors on imprinting of T cell tissue-specific homing receptors. The investigators will examine correlations among the pathologic data, clinical findings, and tumor response. If validated, peripheral blood evaluation could potentially be used as a predictive indicator for patients receiving EGFR inhibitors. This study may also identify novel targets for limiting skin toxicity while receiving EGFR inhibitors, thus allowing maximal dosing and clinical response from these agents..",NCT01137162,"Anal, Colon, and Rectal Cancers|Head and Neck Cancer|Lung Cancer|Colon Cancer|Colonic Neoplasms|Colorectal Neoplasms|Colon/Rectal Cancer|Colon/Rectal Cancer Colon Cancer|Colon/Rectal Cancer Rectal Cancer|Colon/Rectal Cancer Anal Cancer|Head and Neck Cancers|Head and Neck Cancers Lip|Head and Neck Cancers Oral Cavity|Head and Neck Cancers Nasopharynx|Head and Neck Cancers Oropharynx|Head and Neck Cancers Hypopharynx|Head and Neck Cancers Larynx|Head and Neck Cancers Trachea|Lung Cancer Non-Small Cell Cancer (NSCLC)|Lung Cancer Small Cell Lung Cancer (SCLC)",,TERMINATED,10.0,Stanford University,,2008,2011
"NCT Number: NCT05798845. Study Title: The Effect of Toripalimab Plus Radiotherapy in Patients With Operable Stage II-IIIA (N+) Non Small Cell Lung Cancer. Sponsor: Shanghai Chest Hospital. Condition or Disease: NSCLC. Intervention or Drug or Treatment: RADIATION: SBRT+LDRT|DRUG: Toripalimab|DRUG: Chemotherapy drug|DRUG: Toripalimab. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 124.0. Summary: This randomized phase II trial is to explore the clinical efficacy, safety and feasibility of neoadjuvant immunotherapy plus radiotherapy compared with neoadjuvant immunotherapy plus chemotherapy in operable stage II-IIIA (N+) non small cell lung cancer (NSCLC) and the optimal radiotherapy pattern.. ",NCT05798845,NSCLC,PHASE2,RECRUITING,124.0,Shanghai Chest Hospital,RADIATION: SBRT+LDRT|DRUG: Toripalimab|DRUG: Chemotherapy drug|DRUG: Toripalimab,2025,2026
NCT Number: NCT00940225. Study Title: Study of Cabozantinib (XL184) in Adults With Advanced Malignancies. Sponsor: Exelixis. Condition or Disease: Solid Tumors|Cancer. Intervention or Drug or Treatment: DRUG: Cabozantinib|DRUG: Placebo. Phase: PHASE2. Study Status: COMPLETED. Enrollment: 730.0. Summary: This is a Phase 2 study to evaluate the efficacy and safety of cabozantinib (XL184) in subjects with selected advanced tumor types.. ,NCT00940225,Solid Tumors|Cancer,PHASE2,COMPLETED,730.0,Exelixis,DRUG: Cabozantinib|DRUG: Placebo,2009,2014
"NCT Number: NCT03860272. Study Title: Fc-Engineered Anti-CTLA-4 Monoclonal Antibody in Advanced Cancer. Sponsor: Agenus Inc.. Condition or Disease: Advanced Cancer|Angiosarcoma|Colorectal Cancer Without Liver Metastases|Endometrial Cancer|Fibrolamellar Carcinoma|Non-small-cell Lung Cancer|Ovarian Cancer|Prostate Cancer. Intervention or Drug or Treatment: DRUG: Botensilimab|DRUG: Balstilimab. Phase: PHASE1. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 499.0. Summary: This study is an open-label, Phase 1, multicenter study to evaluate the safety, tolerability, pharmacokinetics (PK), and pharmacodynamic (PD) profiles of a novel fragment crystallizable (Fc)-engineered immunoglobulin G1 anti-cytotoxic T-lymphocyte antigen 4 (anti-CTLA-4) human monoclonal antibody (botensilimab) monotherapy and in combination with an anti-programmed cell death protein-1 (PD-1) antibody (balstilimab), and to assess the maximum tolerated dose (MTD) in participants with advanced solid tumors. This study will also determine the recommended phase 2 dose (RP2D) of botensilimab monotherapy and in combination with balstilimab.. ",NCT03860272,Advanced Cancer|Angiosarcoma|Colorectal Cancer Without Liver Metastases|Endometrial Cancer|Fibrolamellar Carcinoma|Non-small-cell Lung Cancer|Ovarian Cancer|Prostate Cancer,PHASE1,ACTIVE_NOT_RECRUITING,499.0,Agenus Inc.,DRUG: Botensilimab|DRUG: Balstilimab,2019,2027
"NCT Number: NCT04665921. Study Title: A Study of SGN-STNV in Advanced Solid Tumors. Sponsor: Seagen Inc.. Condition or Disease: Carcinoma, Non-Small Cell Lung|HER2 Negative Breast Neoplasms|Ovarian Neoplasms|Uterine Cervical Neoplasms|Endometrial Neoplasms|Esophageal Neoplasms|Gastroesophageal Junction Carcinoma|Stomach Neoplasms|Colorectal Neoplasms|Exocrine Pancreatic Adenocarcinoma|Appendiceal Adenocarcinoma|Pseudomyxoma Peritonei. Intervention or Drug or Treatment: DRUG: SGN-STNV. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 111.0. Summary: This trial will look at a drug called SGN-STNV to find out whether it is safe for patients with solid tumors. It will study SGN-STNV to find out what its side effects are. A side effect is anything the drug does besides treating cancer. It will also study how well SGN-STNV works to treat solid tumors.
The study will have two parts. Part A of the study will find out how much SGN-STNV should be given to patients. Part B will use the dose found in Part A to find out how safe SGN-STNV is and if it works to treat certain types of solid tumors.. ",NCT04665921,"Carcinoma, Non-Small Cell Lung|HER2 Negative Breast Neoplasms|Ovarian Neoplasms|Uterine Cervical Neoplasms|Endometrial Neoplasms|Esophageal Neoplasms|Gastroesophageal Junction Carcinoma|Stomach Neoplasms|Colorectal Neoplasms|Exocrine Pancreatic Adenocarcinoma|Appendiceal Adenocarcinoma|Pseudomyxoma Peritonei",PHASE1,TERMINATED,111.0,Seagen Inc.,DRUG: SGN-STNV,2021,2024
"NCT Number: NCT06349642. Study Title: Immune Checkpoint Inhibitor Response in Solid Tumors Using a Live Tumor Diagnostic Platform. Sponsor: Mayo Clinic. Condition or Disease: Early Stage Triple-Negative Breast Carcinoma|Metastatic Bladder Urothelial Carcinoma|Metastatic Cervical Carcinoma|Metastatic Clear Cell Renal Cell Carcinoma|Metastatic Colorectal Carcinoma|Metastatic Endometrial Carcinoma|Metastatic Esophageal Carcinoma|Metastatic Liver Carcinoma|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Malignant Skin Neoplasm|Metastatic Malignant Solid Neoplasm|Resectable Lung Non-Small Cell Carcinoma|Early Stage Lung Non-Small Cell Carcinoma|Resectable Malignant Solid Neoplasm|Resectable Triple-Negative Breast Carcinoma|Stage III Renal Cell Cancer AJCC v8|Stage IV Cervical Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8|Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8|Recurrent Cervical Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Endometrial Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Non-Small Cell Carcinoma|Recurrent Malignant Skin Neoplasm|Recurrent Malignant Solid Neoplasm. Intervention or Drug or Treatment: PROCEDURE: Biospecimen Collection|PROCEDURE: Tissue Collection. Phase: . Study Status: RECRUITING. Enrollment: 324.0. Summary: This study is being done to collect tissue samples to test how accurately a tumor response platform, Elephas, can predict clinical response across multiple types of immunotherapies, chemoimmunotherapy and tumor types.. ",NCT06349642,Early Stage Triple-Negative Breast Carcinoma|Metastatic Bladder Urothelial Carcinoma|Metastatic Cervical Carcinoma|Metastatic Clear Cell Renal Cell Carcinoma|Metastatic Colorectal Carcinoma|Metastatic Endometrial Carcinoma|Metastatic Esophageal Carcinoma|Metastatic Liver Carcinoma|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Malignant Skin Neoplasm|Metastatic Malignant Solid Neoplasm|Resectable Lung Non-Small Cell Carcinoma|Early Stage Lung Non-Small Cell Carcinoma|Resectable Malignant Solid Neoplasm|Resectable Triple-Negative Breast Carcinoma|Stage III Renal Cell Cancer AJCC v8|Stage IV Cervical Cancer AJCC v8|Stage IV Renal Cell Cancer AJCC v8|Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8|Recurrent Cervical Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Endometrial Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Non-Small Cell Carcinoma|Recurrent Malignant Skin Neoplasm|Recurrent Malignant Solid Neoplasm,,RECRUITING,324.0,Mayo Clinic,PROCEDURE: Biospecimen Collection|PROCEDURE: Tissue Collection,2024,2027
NCT Number: NCT06094296. Study Title: A Study of BMS-986315 and Nivolumab in Combination With Chemotherapy in Participants With First-line Stage IV or Recurrent Non-small Cell Lung Cancer (NSCLC). Sponsor: Bristol-Myers Squibb. Condition or Disease: NSCLC. Intervention or Drug or Treatment: DRUG: BMS-986315|DRUG: Nivolumab|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Paclitaxel. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 1.0. Summary: The purpose of this study is to evaluate the efficacy and safety of BMS-986315 plus nivolumab in combination with platinum-based doublet chemotherapy (PDCT) versus nivolumab in combination with PDCT in the first-line treatment of Stage IV or recurrent non-small cell lung cancer (NSCLC).. ,NCT06094296,NSCLC,PHASE2,TERMINATED,1.0,Bristol-Myers Squibb,DRUG: BMS-986315|DRUG: Nivolumab|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Carboplatin|DRUG: Paclitaxel,2023,2024
"NCT Number: NCT03073902. Study Title: The Correlation of PD-L1 Expression in Non-small Lung Cancer Tissue and Peripheral Blood T Cell and Serum.. Sponsor: Xinqiao Hospital of Chongqing. Condition or Disease: NSCLC. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: Liquid biopsy. Phase: . Study Status: COMPLETED. Enrollment: 80.0. Summary: The detection of tissue PD-L1 immunohistochemistry in Non-small cell lung cancer (NSCLC) has an important role in guiding for the treatment of immune detection point. At the same time,tissue detection is time-consuming and laborious, liquid biopsy can reflect the information of tumor tissue,PD-L1 expression in serum and peripheral blood T cell are expected to be simple, rapid, non-invasive means of detection. The project is planned to explore the correlation of PD-L1 expression in non-small lung cancer tissue and peripheral blood T cell and serum..The investigators have designed to detected the expression levels of PD-L1 protein in cancer tissue and detected the expression levels of PD-L1 in peripheral blood T cell and serum.By using variance analysis of repeated measures design information. Thus exploring the correlation of PD-L1 expression in non-small lung cancer tissue and peripheral blood T cell and serum,guiding clinical practice of immunotherapy.. ",NCT03073902,NSCLC,,COMPLETED,80.0,Xinqiao Hospital of Chongqing,DIAGNOSTIC_TEST: Liquid biopsy,2017,2018
"NCT Number: NCT07089199. Study Title: Tislelizumab Combined With Anlotinib and Nab-paclitaxel in III Resectable Non-small Cell Lung Cancer(TitAN) : A Prospective, Single-Arm, Phase II Study. Sponsor: Qilu Hospital of Shandong University. Condition or Disease: NSCLC|Tislelizumab|Anlotinib|Nab-paclitaxel. Intervention or Drug or Treatment: DRUG: neoadjuvant therapy|PROCEDURE: Surgery|DRUG: Adjuvant therapy. Phase: PHASE2. Study Status: NOT_YET_RECRUITING. Enrollment: 34.0. Summary: This study is a single-arm prospective clinical trial. The primary objective of the study is to explore the efficacy and safety of preoperative neoadjuvant therapy with Tislelizumab combined with Anlotinib and Nab-Paclitaxel in resectable stage III non-small cell lung cancer.Finally, it provides new evidence-based medical evidence for the perioperative treatment of non-small cell lung cancer.. ",NCT07089199,NSCLC|Tislelizumab|Anlotinib|Nab-paclitaxel,PHASE2,NOT_YET_RECRUITING,34.0,Qilu Hospital of Shandong University,DRUG: neoadjuvant therapy|PROCEDURE: Surgery|DRUG: Adjuvant therapy,2025,2028
"NCT Number: NCT02659631. Study Title: PF-06671008 Dose Escalation Study in Advanced Solid Tumors. Sponsor: Pfizer. Condition or Disease: Neoplasms. Intervention or Drug or Treatment: DRUG: PF-06671008|DRUG: PF-06671008. Phase: PHASE1. Study Status: TERMINATED. Enrollment: 28.0. Summary: The study will evaluate the safety, pharmacokinetics and pharmacodynamics of increasing doses of PF-06671008 in patients with advanced solid tumors with the potential to have P-cadherin expression. The study will then expand to look at the selected dose in patients with P-cadherin expressing TNBC, CRC or NSCLC.. ",NCT02659631,Neoplasms,PHASE1,TERMINATED,28.0,Pfizer,DRUG: PF-06671008|DRUG: PF-06671008,2016,2019
NCT Number: NCT02038699. Study Title: A First-in-man Phase I/II Study of Oral ONC201 in Patients With Advanced Cancer. Sponsor: Jazz Pharmaceuticals. Condition or Disease: Advanced Glioblastoma|Advanced Colorectal Cancer|Advanced Triple-negative Breast Cancer|Advanced Non-small Cell Lung Cancer. Intervention or Drug or Treatment: DRUG: ONC201. Phase: PHASE1|PHASE2. Study Status: WITHDRAWN. Enrollment: 0.0. Summary: ONC201 is a new potential drug that kills cancer cells but not normal cells in laboratory studies. This clinical trial will be the first evaluation of ONC201 in humans and will enroll patients with advanced cancer. This trial includes a phase I portion that will evaluate the safety of ONC201 and the recommended dose for the phase II portion. The phase II portion will evaluate the initial efficacy profile of ONC201 in select types of cancer.. ,NCT02038699,Advanced Glioblastoma|Advanced Colorectal Cancer|Advanced Triple-negative Breast Cancer|Advanced Non-small Cell Lung Cancer,PHASE1|PHASE2,WITHDRAWN,0.0,Jazz Pharmaceuticals,DRUG: ONC201,2014,2016
"NCT Number: NCT05948813. Study Title: TY-9591 in the Patients With EGFR Mutations in Advanced NSCLC With Brain Metastases. Sponsor: TYK Medicines, Inc. Condition or Disease: NSCLC|EGFR Activating Mutation|Brain Metastases. Intervention or Drug or Treatment: DRUG: TY-9591|DRUG: Osimertinib. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 420.0. Summary: This study is to evaluate the efficacy and safety of TY-9591 in first-line treatment of patients with EGFR-sensitive mutation-positive non-small cell lung cancer with brain metastases compared to Osimertinib.. ",NCT05948813,NSCLC|EGFR Activating Mutation|Brain Metastases,PHASE2,RECRUITING,420.0,"TYK Medicines, Inc",DRUG: TY-9591|DRUG: Osimertinib,2023,2027
NCT Number: NCT02824458. Study Title: A Study of Gefitinib With or Without Apatinib in Patients With Advanced Non-squamous Non-Small-Cell Lung Cancer Harboring EGFR Mutations. Sponsor: Sun Yat-sen University. Condition or Disease: EGFR Tyrosine Kinase Inhibitors Plus VEGFR Inhibitors. Intervention or Drug or Treatment: DRUG: Apatinib|DRUG: Gefitinib|DRUG: Placebo. Phase: PHASE3. Study Status: UNKNOWN. Enrollment: 246.0. Summary: The main purpose of this study is to evaluate the safety and efficacy of Apatinib in combination with Gefitinib as compared to placebo in combination with Gefitinib in participants with stage ⅢB-IV Non-squamous non-small-cell lung cancer (NSCLC) harboring an activating epidermal growth factor receptor (EGFR) mutation (Del19 and L858R). Safety and tolerability of Apatinib in combination with Gefitinib will be assessed in the first portion (Part A) before proceeding to the second portion of this study (Part B).. ,NCT02824458,EGFR Tyrosine Kinase Inhibitors Plus VEGFR Inhibitors,PHASE3,UNKNOWN,246.0,Sun Yat-sen University,DRUG: Apatinib|DRUG: Gefitinib|DRUG: Placebo,2016,2023
"NCT Number: NCT04045496. Study Title: A First-in-Human, Phase 1 Study of JAB-3312 in Adult Patients With Advanced Solid Tumors. Sponsor: Jacobio Pharmaceuticals Co., Ltd.. Condition or Disease: Non-small Cell Lung Cancer|Colorectal Cancer|Pancreatic Ductal Carcinoma|Esophageal Squamous Cell Carcinoma|Head and Neck Squamous Cell Carcinoma|Breast Cancer|Other Solid Tumors. Intervention or Drug or Treatment: DRUG: JAB-3312. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 40.0. Summary: This is a Phase 1, first-in-human, open-label dose-escalation study to determine the maximum tolerated dose (MTD) and/or recommended Phase 2 dose (RP2D) and assess the DLT of JAB-3312. It is anticipated that approximately 24 subjects will be enrolled in the dose-escalation phase of the study. JAB-3312 will be administered orally once daily (QD) in 21-day treatment cycles.. ",NCT04045496,Non-small Cell Lung Cancer|Colorectal Cancer|Pancreatic Ductal Carcinoma|Esophageal Squamous Cell Carcinoma|Head and Neck Squamous Cell Carcinoma|Breast Cancer|Other Solid Tumors,PHASE1,COMPLETED,40.0,"Jacobio Pharmaceuticals Co., Ltd.",DRUG: JAB-3312,2019,2022
"NCT Number: NCT01868022. Study Title: Study to Evaluate GSK3052230 in Combination With Paclitaxel and Carboplatin, or Docetaxel or as Single Agent in Subjects With Solid Malignancies and Deregulated Fibroblast Growth Factor (FGF) Pathway Signaling. Sponsor: GlaxoSmithKline. Condition or Disease: Neoplasms. Intervention or Drug or Treatment: DRUG: GSK3052230|DRUG: paclitaxel|DRUG: carboplatin|DRUG: docetaxel|DRUG: pemetrexed|DRUG: cisplatin. Phase: PHASE1. Study Status: COMPLETED. Enrollment: 65.0. Summary: This phase IB trial aims to identify anticancer activity of GSK3052230 in subjects with malignancies with abnormal dependence on FGF pathway signaling. Combination doses of GSK3052230 with standard of care chemotherapy in the first and second line or greater setting of metastatic squamous non-small cell lung cancer (NSCLC) and first line malignant pleural mesothelioma subjects will be studied in the 3+3 dose-escalation design. This will be a multi-arm, multicenter, non-randomized, parallel-group, uncontrolled, open-label Phase IB study designed to evaluate the safety, tolerability and preliminary activity of GSK3052230 in combination with paclitaxel + carboplatin (Arm A), in combination with docetaxel (Arm B), or in combination with pemetrexed + cisplatin (Arm C). Approximately 70 subjects will be enrolled in the study (approximately up to 120 may be enrolled).. ",NCT01868022,Neoplasms,PHASE1,COMPLETED,65.0,GlaxoSmithKline,DRUG: GSK3052230|DRUG: paclitaxel|DRUG: carboplatin|DRUG: docetaxel|DRUG: pemetrexed|DRUG: cisplatin,2013,2017
"NCT Number: NCT04154163. Study Title: Appropriate Dosing to Optimise Personalised Cancer Treatments. Sponsor: University of Dundee. Condition or Disease: Melanoma Stage III|Melanoma Stage IV|Ovarian Cancer|Renal Cancer Stage III|Renal Cancer Stage IV|Lung Cancer, Non-small Cell. Intervention or Drug or Treatment: DIAGNOSTIC_TEST: Dried blood Spot (DBS)|DIAGNOSTIC_TEST: Venous blood sampling. Phase: . Study Status: COMPLETED. Enrollment: 18.0. Summary: This is a pilot study to assess feasibility of dried blood spot (DBS) samples for pharmacokinetic measurements of targeted anti-cancer drugs in oncology patients such as patients with BRAF-mutant melanoma receiving targeted treatment with BRAF and MEK inhibitors.. ",NCT04154163,"Melanoma Stage III|Melanoma Stage IV|Ovarian Cancer|Renal Cancer Stage III|Renal Cancer Stage IV|Lung Cancer, Non-small Cell",,COMPLETED,18.0,University of Dundee,DIAGNOSTIC_TEST: Dried blood Spot (DBS)|DIAGNOSTIC_TEST: Venous blood sampling,2020,2021
"NCT Number: NCT01953926. Study Title: Basket Study of Neratinib in Participants With Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations. Sponsor: Puma Biotechnology, Inc.. Condition or Disease: Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations. Intervention or Drug or Treatment: DRUG: Neratinib|DRUG: Fulvestrant|DRUG: Trastuzumab|DRUG: Paclitaxel. Phase: PHASE2. Study Status: TERMINATED. Enrollment: 582.0. Summary: This is an open-label, multicenter, multinational, Phase 2 basket study exploring the efficacy and safety of neratinib as monotherapy or in combination with other therapies in participants with HER (EGFR, HER2) mutation-positive solid tumors.. ",NCT01953926,Solid Tumors Harboring Somatic HER2 or EGFR Exon 18 Mutations,PHASE2,TERMINATED,582.0,"Puma Biotechnology, Inc.",DRUG: Neratinib|DRUG: Fulvestrant|DRUG: Trastuzumab|DRUG: Paclitaxel,2013,2023
"NCT Number: NCT07410975. Study Title: Efficacy of Anti-CTLA-4 Antibody Combined With Sintilimab and Chemotherapy as Neoadjuvant Therapy for Resectable Stage II-III Non-Small Cell Lung Cancer. Sponsor: Shanghai Pulmonary Hospital, Shanghai, China. Condition or Disease: NSCLC Stage II|NSCLC Stage III. Intervention or Drug or Treatment: DRUG: sintilimab+IBI310+chemotherapy. Phase: PHASE2. Study Status: RECRUITING. Enrollment: 54.0. Summary: This study aims to evaluate the major pathologic response (MPR) rate of neoadjuvant therapy with sintilimab (PD-1 inhibitor) + IBI310 (anti-CTLA-4 antibody) + chemotherapy, and to assess the efficacy of this treatment strategy in patients with PD-L1-negative stage II - IIIB (excluding N3) NSCLC (according to AJCC 9th) scheduled for surgery.. ",NCT07410975,NSCLC Stage II|NSCLC Stage III,PHASE2,RECRUITING,54.0,"Shanghai Pulmonary Hospital, Shanghai, China",DRUG: sintilimab+IBI310+chemotherapy,2026,2030
"NCT Number: NCT00062283. Study Title: Alanosine in Treating Patients With Cancer. Sponsor: Memorial Sloan Kettering Cancer Center. Condition or Disease: Lung Cancer|Malignant Mesothelioma|Pancreatic Cancer|Sarcoma. Intervention or Drug or Treatment: DRUG: L-alanosine. Phase: PHASE2. Study Status: COMPLETED. Enrollment: . Summary: RATIONALE: Drugs used in chemotherapy such as alanosine use different ways to stop tumor cells from dividing so they stop growing or die.
PURPOSE: This phase II trial is studying how well alanosine works in treating patients with soft tissue sarcoma, sarcoma of the bone, mesothelioma, non-small cell lung cancer, or pancreatic cancer.. ",NCT00062283,Lung Cancer|Malignant Mesothelioma|Pancreatic Cancer|Sarcoma,PHASE2,COMPLETED,,Memorial Sloan Kettering Cancer Center,DRUG: L-alanosine,2003,2009
"NCT Number: NCT00005023. Study Title: Vaccine Therapy Plus Sargramostim in Treating Patients With Stage III or Stage IV Cancer. Sponsor: University of Washington. Condition or Disease: Breast Cancer|Lung Cancer|Ovarian Cancer. Intervention or Drug or Treatment: BIOLOGICAL: HER-2/neu peptide vaccine|BIOLOGICAL: sargramostim. Phase: PHASE1. Study Status: COMPLETED. Enrollment: . Summary: RATIONALE: Vaccines may make the body build an immune response to tumor cells. Colony-stimulating factors such as sargramostim increase the number of immune cells found in bone marrow or peripheral blood.
PURPOSE: Phase I trial to study the effectiveness of vaccine therapy plus sargramostim in treating patients who have stage III or stage IV cancer.. ",NCT00005023,Breast Cancer|Lung Cancer|Ovarian Cancer,PHASE1,COMPLETED,,University of Washington,BIOLOGICAL: HER-2/neu peptide vaccine|BIOLOGICAL: sargramostim,1999,2001
"NCT Number: NCT03277352. Study Title: INCAGN01876 in Combination With Immune Therapies in Subjects With Advanced or Metastatic Malignancies. Sponsor: Incyte Biosciences International Sàrl. Condition or Disease: Advanced Malignancies|Metastatic Cancer. Intervention or Drug or Treatment: DRUG: INCAGN01876|DRUG: Epacadostat|DRUG: Pembrolizumab. Phase: PHASE1|PHASE2. Study Status: TERMINATED. Enrollment: 10.0. Summary: The purpose of this study is to determine the safety, tolerability, and efficacy of INCAGN01876 when given in combination with immune therapies.. ",NCT03277352,Advanced Malignancies|Metastatic Cancer,PHASE1|PHASE2,TERMINATED,10.0,Incyte Biosciences International Sàrl,DRUG: INCAGN01876|DRUG: Epacadostat|DRUG: Pembrolizumab,2017,2020
"NCT Number: NCT04280081. Study Title: A Study of Selpercatinib (LY3527723) in Participants With Advanced Solid Tumors Including RET Fusion-positive Solid Tumors, Medullary Thyroid Cancer and Other Tumors With RET Activation. Sponsor: Eli Lilly and Company. Condition or Disease: Solid Tumor|Medullary Thyroid Cancer. Intervention or Drug or Treatment: DRUG: Selpercatinib. Phase: PHASE2. Study Status: ACTIVE_NOT_RECRUITING. Enrollment: 77.0. Summary: The reason for this study is to see if the study drug selpercatinib is safe and effective in participants in China with rearranged during transfection (RET) fusion-positive solid tumors, medullary thyroid cancer (MTC) and other tumors with RET activation.. ",NCT04280081,Solid Tumor|Medullary Thyroid Cancer,PHASE2,ACTIVE_NOT_RECRUITING,77.0,Eli Lilly and Company,DRUG: Selpercatinib,2020,2027
